cidade,regiao,usuarios,novos_usuarios,sessoes,visualizacoes_de_tela,telas_sessao,duracao_media_da_sessao
Sao Paulo,State of Sao Paulo,1.131,916,2.465,8.445,"3,43",00:03:25
Rio de Janeiro,State of Rio de Janeiro,885,699,1.434,3.65,"2,55",00:01:36
Fortaleza,State of Ceara,602,437,1.029,2.514,"2,44",00:01:33
Belo Horizonte,State of Minas Gerais,482,363,801,2.204,"2,75",00:01:45
Itajuba,State of Minas Gerais,481,467,812,7.616,"9,38",00:11:59
Brasilia,Federal District,312,259,524,1.181,"2,25",00:03:16
Recife,State of Pernambuco,296,219,439,1.13,"2,57",00:01:38
Curitiba,State of Parana,285,197,540,1.699,"3,15",00:01:59
Salvador,State of Bahia,270,219,511,1.244,"2,43",00:01:36
Goiania,State of Goias,260,190,376,954,"2,54",00:01:42
Porto Alegre,State of Rio Grande do Sul,190,147,329,924,"2,81",00:02:13
Belem,State of Para,182,147,381,1.482,"3,89",00:05:28
Sao Luis,State of Maranhao,179,149,283,703,"2,48",00:01:44
Manaus,State of Amazonas,176,142,379,861,"2,27",00:02:18
(not set),State of Maranhao,122,106,264,758,"2,87",00:02:37
(not set),State of Bahia,117,99,228,522,"2,29",00:02:27
(not set),State of Para,109,90,187,429,"2,29",00:03:09
(not set),State of Minas Gerais,104,92,182,405,"2,23",00:02:16
Campinas,State of Sao Paulo,104,80,139,394,"2,83",00:01:20
Joao Pessoa,State of Paraiba,97,82,164,443,"2,70",00:01:40
Natal,State of Rio Grande do Norte,87,81,136,389,"2,86",00:02:11
Campo Grande,State of Mato Grosso do Sul,86,75,138,298,"2,16",00:01:09
Aracaju,State of Sergipe,70,60,113,255,"2,26",00:01:35
Chapeco,State of Santa Catarina,69,58,172,731,"4,25",00:03:25
Maceio,State of Alagoas,68,56,157,477,"3,04",00:02:11
Teresina,State of Piaui,64,56,100,224,"2,24",00:01:56
Uberlandia,State of Minas Gerais,62,55,89,219,"2,46",00:01:08
Florianopolis,State of Santa Catarina,59,47,81,263,"3,25",00:02:41
Maringa,State of Parana,56,47,109,294,"2,70",00:01:47
Sao Jose dos Campos,State of Sao Paulo,53,40,132,479,"3,63",00:01:15
Imperatriz,State of Maranhao,50,42,87,284,"3,26",00:01:56
Joinville,State of Santa Catarina,46,39,203,425,"2,09",00:01:13
Cuiaba,State of Mato Grosso,45,39,78,171,"2,19",00:01:55
(not set),(not set),44,34,47,100,"2,13",00:02:25
(not set),State of Amazonas,44,43,58,62,"1,07",00:00:48
Juiz de Fora,State of Minas Gerais,44,42,72,194,"2,69",00:01:24
(not set),State of Pernambuco,40,31,61,141,"2,31",00:00:55
Santos,State of Sao Paulo,37,22,58,143,"2,47",00:01:22
Osasco,State of Sao Paulo,36,32,63,79,"1,25",00:01:25
Sorocaba,State of Sao Paulo,35,22,53,178,"3,36",00:03:56
Duque de Caxias,State of Rio de Janeiro,35,27,45,101,"2,24",00:00:57
Montes Claros,State of Minas Gerais,34,26,51,205,"4,02",00:02:04
Niteroi,State of Rio de Janeiro,33,30,41,132,"3,22",00:01:13
(not set),State of Ceara,32,21,42,151,"3,60",00:04:38
Cascavel,State of Parana,32,22,62,153,"2,47",00:01:42
Boa Vista,State of Roraima,32,28,59,231,"3,92",00:02:35
Petrolina,State of Pernambuco,31,28,54,113,"2,09",00:01:04
(not set),State of Mato Grosso,30,28,43,66,"1,53",00:02:41
Vila Velha,State of Espirito Santo,30,28,66,157,"2,38",00:01:51
Ribeirao Preto,State of Sao Paulo,30,24,47,149,"3,17",00:01:04
Sao Bernardo do Campo,State of Sao Paulo,29,23,36,100,"2,78",00:00:59
Carapicuiba,State of Sao Paulo,29,27,33,46,"1,39",00:03:00
Feira de Santana,State of Bahia,28,26,60,173,"2,88",00:02:49
Santo Andre,State of Sao Paulo,28,24,33,103,"3,12",00:00:55
(not set),State of Piaui,27,25,41,83,"2,02",00:02:02
Caruaru,State of Pernambuco,26,21,35,108,"3,09",00:01:13
Gravatai,State of Rio Grande do Sul,26,17,45,111,"2,47",00:05:51
(not set),State of Goias,25,23,43,109,"2,53",00:02:03
Vitoria,State of Espirito Santo,25,20,38,61,"1,61",00:01:12
Governador Valadares,State of Minas Gerais,25,23,38,74,"1,95",00:00:38
Porto Velho,State of Rondonia,25,22,37,75,"2,03",00:00:31
Sao Goncalo,State of Rio de Janeiro,25,24,33,92,"2,79",00:01:26
Londrina,State of Parana,24,24,39,169,"4,33",00:01:39
Pelotas,State of Rio Grande do Sul,24,21,45,104,"2,31",00:01:37
Guarulhos,State of Sao Paulo,24,21,37,76,"2,05",00:00:44
Arapiraca,State of Alagoas,24,19,41,113,"2,76",00:01:17
Macapa,State of Amapa,23,18,45,125,"2,78",00:01:07
Canoas,State of Rio Grande do Sul,23,20,32,57,"1,78",00:00:40
Sete Lagoas,State of Minas Gerais,22,18,33,88,"2,67",00:01:42
Uberaba,State of Minas Gerais,22,18,38,101,"2,66",00:01:42
Campina Grande,State of Paraiba,22,16,38,78,"2,05",00:00:42
Nova Iguacu,State of Rio de Janeiro,22,21,40,91,"2,28",00:00:32
Santa Maria,State of Rio Grande do Sul,22,20,27,53,"1,96",00:02:45
Sunnyvale,California,22,22,22,35,"1,59",00:00:48
Varginha,State of Minas Gerais,22,18,38,111,"2,92",00:02:55
Bauru,State of Sao Paulo,21,19,31,132,"4,26",00:04:10
Patos de Minas,State of Minas Gerais,21,19,29,61,"2,10",00:02:47
Sobral,State of Ceara,20,19,32,105,"3,28",00:02:38
Novo Hamburgo,State of Rio Grande do Sul,20,17,39,131,"3,36",00:01:06
Taubate,State of Sao Paulo,20,16,26,90,"3,46",00:02:20
Patos,State of Paraiba,19,17,25,60,"2,40",00:03:58
